Starting profiler for
PID of cypress renderer: 79551
time, pid, mem, command
15:12:21, 79551, 376M, Cypress Helper (
15:12:27, 79551, 379M, Cypress Helper (
15:12:33, 79551, 378M, Cypress Helper (
15:12:39, 79551, 382M, Cypress Helper (
15:12:45, 79551, 384M, Cypress Helper (
15:12:51, 79551, 402M, Cypress Helper (
15:12:57, 79551, 384M, Cypress Helper (
15:13:03, 79551, 384M, Cypress Helper (
15:13:09, 79551, 389M, Cypress Helper (
15:13:15, 79551, 422M, Cypress Helper (
15:13:22, 79551, 389M, Cypress Helper (
15:13:28, 79551, 386M, Cypress Helper (
15:13:34, 79551, 397M, Cypress Helper (
15:13:40, 79551, 395M, Cypress Helper (
15:13:46, 79551, 397M, Cypress Helper (
15:13:52, 79551, 434M, Cypress Helper (
15:13:58, 79551, 409M, Cypress Helper (
15:14:04, 79551, 405M, Cypress Helper (
15:14:10, 79551, 407M, Cypress Helper (
15:14:16, 79551, 411M, Cypress Helper (
15:14:22, 79551, 402M, Cypress Helper (
15:14:28, 79551, 411M, Cypress Helper (
15:14:34, 79551, 405M, Cypress Helper (
15:14:41, 79551, 420M, Cypress Helper (
15:14:47, 79551, 426M, Cypress Helper (
15:14:53, 79551, 431M, Cypress Helper (
15:14:59, 79551, 470M, Cypress Helper (
15:15:05, 79551, 425M, Cypress Helper (
15:15:11, 79551, 420M, Cypress Helper (
15:15:17, 79551, 416M, Cypress Helper (
15:15:23, 79551, 418M, Cypress Helper (
15:15:29, 79551, 428M, Cypress Helper (
15:15:35, 79551, 431M, Cypress Helper (
15:15:41, 79551, 427M, Cypress Helper (
15:15:47, 79551, 429M, Cypress Helper (
15:15:54, 79551, 441M, Cypress Helper (
15:16:00, 79551, 423M, Cypress Helper (
15:16:06, 79551, 441M, Cypress Helper (
15:16:12, 79551, 476M, Cypress Helper (
15:16:18, 79551, 438M, Cypress Helper (
15:16:24, 79551, 443M, Cypress Helper (
15:16:30, 79551, 440M, Cypress Helper (
15:16:36, 79551, 436M, Cypress Helper (
15:16:42, 79551, 458M, Cypress Helper (
15:16:48, 79551, 442M, Cypress Helper (
15:16:54, 79551, 456M, Cypress Helper (
15:17:01, 79551, 493M, Cypress Helper (
15:17:07, 79551, 455M, Cypress Helper (
15:17:13, 79551, 475M, Cypress Helper (
15:17:19, 79551, 455M, Cypress Helper (
15:17:25, 79551, 463M, Cypress Helper (
15:17:31, 79551, 451M, Cypress Helper (
15:17:37, 79551, 459M, Cypress Helper (
15:17:43, 79551, 448M, Cypress Helper (
15:17:49, 79551, 457M, Cypress Helper (
15:17:55, 79551, 470M, Cypress Helper (
15:18:02, 79551, 472M, Cypress Helper (
15:18:08, 79551, 463M, Cypress Helper (
15:18:14, 79551, 478M, Cypress Helper (
15:18:20, 79551, 458M, Cypress Helper (
15:18:26, 79551, 477M, Cypress Helper (
15:18:32, 79551, 485M, Cypress Helper (
15:18:38, 79551, 470M, Cypress Helper (
15:18:44, 79551, 475M, Cypress Helper (
15:18:50, 79551, 492M, Cypress Helper (
15:18:56, 79551, 472M, Cypress Helper (
15:19:02, 79551, 478M, Cypress Helper (
15:19:09, 79551, 484M, Cypress Helper (
15:19:15, 79551, 486M, Cypress Helper (
15:19:21, 79551, 486M, Cypress Helper (
15:19:27, 79551, 487M, Cypress Helper (
15:19:33, 79551, 487M, Cypress Helper (
15:19:39, 79551, 488M, Cypress Helper (
15:19:45, 79551, 496M, Cypress Helper (
15:19:51, 79551, 486M, Cypress Helper (
15:19:57, 79551, 494M, Cypress Helper (
15:20:03, 79551, 504M, Cypress Helper (
15:20:09, 79551, 496M, Cypress Helper (
15:20:15, 79551, 495M, Cypress Helper (
15:20:22, 79551, 545M, Cypress Helper (
15:20:28, 79551, 500M, Cypress Helper (
15:20:34, 79551, 504M, Cypress Helper (
15:20:40, 79551, 504M, Cypress Helper (
15:20:46, 79551, 518M, Cypress Helper (
15:20:52, 79551, 508M, Cypress Helper (
15:20:58, 79551, 521M, Cypress Helper (
15:21:04, 79551, 516M, Cypress Helper (
15:21:10, 79551, 538M, Cypress Helper (
15:21:16, 79551, 512M, Cypress Helper (
15:21:23, 79551, 514M, Cypress Helper (
15:21:29, 79551, 513M, Cypress Helper (
15:21:35, 79551, 506M, Cypress Helper (
15:21:41, 79551, 521M, Cypress Helper (
15:21:47, 79551, 548M, Cypress Helper (
15:21:53, 79551, 523M, Cypress Helper (
15:21:59, 79551, 524M, Cypress Helper (
15:22:05, 79551, 542M, Cypress Helper (
15:22:11, 79551, 534M, Cypress Helper (
15:22:17, 79551, 526M, Cypress Helper (
15:22:23, 79551, 562M, Cypress Helper (
15:22:30, 79551, 527M, Cypress Helper (
15:22:36, 79551, 535M, Cypress Helper (
15:22:42, 79551, 549M, Cypress Helper (
15:22:48, 79551, 525M, Cypress Helper (
15:22:54, 79551, 546M, Cypress Helper (
15:23:00, 79551, 548M, Cypress Helper (
15:23:06, 79551, 563M, Cypress Helper (
15:23:12, 79551, 544M, Cypress Helper (
15:23:18, 79551, 595M, Cypress Helper (
15:23:24, 79551, 554M, Cypress Helper (
15:23:31, 79551, 579M, Cypress Helper (
15:23:37, 79551, 543M, Cypress Helper (
15:23:43, 79551, 550M, Cypress Helper (
15:23:49, 79551, 569M, Cypress Helper (
15:23:55, 79551, 555M, Cypress Helper (
15:24:01, 79551, 552M, Cypress Helper (
15:24:07, 79551, 584M, Cypress Helper (
15:24:13, 79551, 564M, Cypress Helper (
15:24:20, 79551, 579M, Cypress Helper (
15:24:26, 79551, 556M, Cypress Helper (
15:24:32, 79551, 566M, Cypress Helper (
15:24:38, 79551, 597M, Cypress Helper (
15:24:44, 79551, 642M, Cypress Helper (
15:24:50, 79551, 555M, Cypress Helper (
15:24:56, 79551, 563M, Cypress Helper (
15:25:02, 79551, 580M, Cypress Helper (
15:25:09, 79551, 589M, Cypress Helper (
15:25:15, 79551, 585M, Cypress Helper (
15:25:21, 79551, 606M, Cypress Helper (
15:25:27, 79551, 565M, Cypress Helper (
15:25:33, 79551, 582M, Cypress Helper (
15:25:39, 79551, 599M, Cypress Helper (
15:25:45, 79551, 609M, Cypress Helper (
15:25:52, 79551, 574M, Cypress Helper (
15:25:58, 79551, 587M, Cypress Helper (
15:26:04, 79551, 603M, Cypress Helper (
15:26:10, 79551, 615M, Cypress Helper (
15:26:16, 79551, 587M, Cypress Helper (
15:26:22, 79551, 633M, Cypress Helper (
15:26:29, 79551, 578M, Cypress Helper (
15:26:35, 79551, 585M, Cypress Helper (
15:26:41, 79551, 595M, Cypress Helper (
15:26:47, 79551, 624M, Cypress Helper (
15:26:53, 79551, 579M, Cypress Helper (
15:26:59, 79551, 599M, Cypress Helper (
15:27:06, 79551, 612M, Cypress Helper (
15:27:12, 79551, 597M, Cypress Helper (
15:27:18, 79551, 613M, Cypress Helper (
15:27:24, 79551, 596M, Cypress Helper (
15:27:30, 79551, 605M, Cypress Helper (
15:27:37, 79551, 636M, Cypress Helper (
15:27:43, 79551, 624M, Cypress Helper (
15:27:49, 79551, 609M, Cypress Helper (
15:27:55, 79551, 638M, Cypress Helper (
15:28:01, 79551, 593M, Cypress Helper (
15:28:08, 79551, 618M, Cypress Helper (
15:28:14, 79551, 619M, Cypress Helper (
15:28:20, 79551, 334M, Cypress Helper (
15:28:26, 79551, 336M, Cypress Helper (
15:28:32, 79551, 338M, Cypress Helper (
15:28:38, 79551, 343M, Cypress Helper (
15:28:44, 79551, 344M, Cypress Helper (
15:28:51, 79551, 348M, Cypress Helper (
15:28:57, 79551, 351M, Cypress Helper (
15:29:03, 79551, 353M, Cypress Helper (
15:29:09, 79551, 354M, Cypress Helper (
15:29:15, 79551, 354M, Cypress Helper (
15:29:21, 79551, 358M, Cypress Helper (
15:29:27, 79551, 357M, Cypress Helper (
15:29:34, 79551, 360M, Cypress Helper (
15:29:40, 79551, 361M, Cypress Helper (
15:29:46, 79551, 362M, Cypress Helper (
15:29:52, 79551, 363M, Cypress Helper (
15:29:58, 79551, 364M, Cypress Helper (
15:30:05, 79551, 366M, Cypress Helper (
15:30:11, 79551, 379M, Cypress Helper (
15:30:17, 79551, 370M, Cypress Helper (
15:30:23, 79551, 406M, Cypress Helper (
15:30:29, 79551, 446M, Cypress Helper (
15:30:35, 79551, 394M, Cypress Helper (
15:30:41, 79551, 417M, Cypress Helper (
15:30:48, 79551, 459M, Cypress Helper (
15:30:54, 79551, 395M, Cypress Helper (
15:31:00, 79551, 429M, Cypress Helper (
15:31:06, 79551, 479M, Cypress Helper (
15:31:12, 79551, 417M, Cypress Helper (
15:31:18, 79551, 461M, Cypress Helper (
15:31:25, 79551, 423M, Cypress Helper (
15:31:31, 79551, 447M, Cypress Helper (
15:31:37, 79551, 416M, Cypress Helper (
15:31:43, 79551, 429M, Cypress Helper (
15:31:49, 79551, 481M, Cypress Helper (
15:31:55, 79551, 443M, Cypress Helper (
15:32:01, 79551, 479M, Cypress Helper (
15:32:08, 79551, 463M, Cypress Helper (
15:32:14, 79551, 469M, Cypress Helper (
15:32:20, 79551, 469M, Cypress Helper (
15:32:26, 79551, 469M, Cypress Helper (
15:32:32, 79551, 438M, Cypress Helper (
15:32:38, 79551, 468M, Cypress Helper (
15:32:44, 79551, 454M, Cypress Helper (
15:32:51, 79551, 477M, Cypress Helper (
15:32:57, 79551, 450M, Cypress Helper (
15:33:03, 79551, 497M, Cypress Helper (
15:33:09, 79551, 453M, Cypress Helper (
15:33:15, 79551, 503M, Cypress Helper (
15:33:21, 79551, 462M, Cypress Helper (
15:33:27, 79551, 520M, Cypress Helper (
15:33:34, 79551, 466M, Cypress Helper (
15:33:40, 79551, 532M, Cypress Helper (
15:33:46, 79551, 496M, Cypress Helper (
15:33:52, 79551, 541M, Cypress Helper (
15:33:58, 79551, 490M, Cypress Helper (
15:34:04, 79551, 481M, Cypress Helper (
15:34:11, 79551, 509M, Cypress Helper (
15:34:17, 79551, 494M, Cypress Helper (
15:34:23, 79551, 549M, Cypress Helper (
15:34:29, 79551, 509M, Cypress Helper (
15:34:35, 79551, 486M, Cypress Helper (
15:34:41, 79551, 529M, Cypress Helper (
15:34:47, 79551, 503M, Cypress Helper (
15:34:54, 79551, 493M, Cypress Helper (
15:35:00, 79551, 510M, Cypress Helper (
15:35:06, 79551, 494M, Cypress Helper (
15:35:12, 79551, 497M, Cypress Helper (
15:35:18, 79551, 513M, Cypress Helper (
15:35:24, 79551, 499M, Cypress Helper (
15:35:31, 79551, 565M, Cypress Helper (
15:35:37, 79551, 517M, Cypress Helper (
15:35:43, 79551, 505M, Cypress Helper (
15:35:49, 79551, 561M, Cypress Helper (
15:35:55, 79551, 513M, Cypress Helper (
15:36:01, 79551, 510M, Cypress Helper (
15:36:08, 79551, 557M, Cypress Helper (
15:36:14, 79551, 531M, Cypress Helper (
15:36:20, 79551, 524M, Cypress Helper (
15:36:26, 79551, 568M, Cypress Helper (
15:36:32, 79551, 526M, Cypress Helper (
15:36:38, 79551, 539M, Cypress Helper (
15:36:45, 79551, 586M, Cypress Helper (
15:36:51, 79551, 552M, Cypress Helper (
15:36:57, 79551, 535M, Cypress Helper (
15:37:03, 79551, 593M, Cypress Helper (
15:37:09, 79551, 556M, Cypress Helper (
15:37:16, 79551, 545M, Cypress Helper (
15:37:22, 79551, 538M, Cypress Helper (
15:37:28, 79551, 571M, Cypress Helper (
15:37:34, 79551, 554M, Cypress Helper (
15:37:40, 79551, 540M, Cypress Helper (
15:37:46, 79551, 605M, Cypress Helper (
15:37:53, 79551, 559M, Cypress Helper (
15:37:59, 79551, 555M, Cypress Helper (
15:38:05, 79551, 566M, Cypress Helper (
15:38:11, 79551, 594M, Cypress Helper (
15:38:17, 79551, 557M, Cypress Helper (
15:38:23, 79551, 565M, Cypress Helper (
15:38:30, 79551, 589M, Cypress Helper (
15:38:36, 79551, 603M, Cypress Helper (
15:38:42, 79551, 567M, Cypress Helper (
15:38:48, 79551, 589M, Cypress Helper (
15:38:54, 79551, 645M, Cypress Helper (
15:39:00, 79551, 599M, Cypress Helper (
15:39:07, 79551, 592M, Cypress Helper (
15:39:13, 79551, 675M, Cypress Helper (
15:39:19, 79551, 624M, Cypress Helper (
15:39:25, 79551, 580M, Cypress Helper (
15:39:31, 79551, 587M, Cypress Helper (
15:39:37, 79551, 639M, Cypress Helper (
15:39:44, 79551, 598M, Cypress Helper (
15:39:50, 79551, 590M, Cypress Helper (
15:39:56, 79551, 584M, Cypress Helper (
15:40:02, 79551, 597M, Cypress Helper (
15:40:08, 79551, 638M, Cypress Helper (
15:40:14, 79551, 623M, Cypress Helper (
15:40:21, 79551, 592M, Cypress Helper (
15:40:27, 79551, 589M, Cypress Helper (
15:40:33, 79551, 632M, Cypress Helper (
15:40:39, 79551, 608M, Cypress Helper (
15:40:45, 79551, 631M, Cypress Helper (
15:40:51, 79551, 677M, Cypress Helper (
15:40:58, 79551, 618M, Cypress Helper (
15:41:04, 79551, 638M, Cypress Helper (
15:41:10, 79551, 629M, Cypress Helper (
15:41:16, 79551, 667M, Cypress Helper (
15:41:22, 79551, 666M, Cypress Helper (
15:41:28, 79551, 650M, Cypress Helper (
15:41:35, 79551, 615M, Cypress Helper (
15:41:41, 79551, 630M, Cypress Helper (
15:41:47, 79551, 630M, Cypress Helper (
15:41:53, 79551, 638M, Cypress Helper (
15:41:59, 79551, 676M, Cypress Helper (
15:42:05, 79551, 646M, Cypress Helper (
15:42:12, 79551, 631M, Cypress Helper (
15:42:18, 79551, 639M, Cypress Helper (
15:42:24, 79551, 682M, Cypress Helper (
15:42:30, 79551, 644M, Cypress Helper (
15:42:36, 79551, 640M, Cypress Helper (
15:42:42, 79551, 640M, Cypress Helper (
15:42:49, 79551, 688M, Cypress Helper (
15:42:55, 79551, 686M, Cypress Helper (
15:43:01, 79551, 655M, Cypress Helper (
15:43:07, 79551, 646M, Cypress Helper (
15:43:13, 79551, 680M, Cypress Helper (
15:43:19, 79551, 654M, Cypress Helper (
15:43:26, 79551, 664M, Cypress Helper (
15:43:32, 79551, 740M, Cypress Helper (
15:43:38, 79551, 697M, Cypress Helper (
15:43:44, 79551, 663M, Cypress Helper (
15:43:50, 79551, 653M, Cypress Helper (
15:43:57, 79551, 652M, Cypress Helper (
15:44:03, 79551, 693M, Cypress Helper (
15:44:09, 79551, 663M, Cypress Helper (
15:44:15, 79551, 674M, Cypress Helper (
15:44:21, 79551, 662M, Cypress Helper (
15:44:27, 79551, 722M, Cypress Helper (
15:44:34, 79551, 671M, Cypress Helper (
15:44:40, 79551, 669M, Cypress Helper (
15:44:46, 79551, 676M, Cypress Helper (
15:44:52, 79551, 678M, Cypress Helper (
15:44:58, 79551, 688M, Cypress Helper (
15:45:04, 79551, 681M, Cypress Helper (
15:45:11, 79551, 671M, Cypress Helper (
15:45:17, 79551, 670M, Cypress Helper (
15:45:23, 79551, 702M, Cypress Helper (
15:45:29, 79551, 689M, Cypress Helper (
15:45:35, 79551, 680M, Cypress Helper (
15:45:42, 79551, 679M, Cypress Helper (
15:45:48, 79551, 692M, Cypress Helper (
15:45:54, 79551, 699M, Cypress Helper (
15:46:00, 79551, 689M, Cypress Helper (
15:46:06, 79551, 692M, Cypress Helper (
15:46:12, 79551, 726M, Cypress Helper (
15:46:19, 79551, 779M, Cypress Helper (
15:46:25, 79551, 710M, Cypress Helper (
15:46:31, 79551, 723M, Cypress Helper (
15:46:37, 79551, 689M, Cypress Helper (
15:46:43, 79551, 747M, Cypress Helper (
15:46:50, 79551, 723M, Cypress Helper (
15:46:56, 79551, 720M, Cypress Helper (
15:47:02, 79551, 700M, Cypress Helper (
15:47:08, 79551, 697M, Cypress Helper (
15:47:14, 79551, 740M, Cypress Helper (
15:47:21, 79551, 730M, Cypress Helper (
15:47:27, 79551, 724M, Cypress Helper (
15:47:33, 79551, 787M, Cypress Helper (
15:47:39, 79551, 748M, Cypress Helper (
15:47:45, 79551, 739M, Cypress Helper (
15:47:52, 79551, 728M, Cypress Helper (
15:47:58, 79551, 721M, Cypress Helper (
15:48:04, 79551, 751M, Cypress Helper (
15:48:10, 79551, 738M, Cypress Helper (
15:48:17, 79551, 767M, Cypress Helper (
15:48:23, 79551, 716M, Cypress Helper (
15:48:29, 79551, 783M, Cypress Helper (
15:48:35, 79551, 752M, Cypress Helper (
15:48:41, 79551, 769M, Cypress Helper (
15:48:48, 79551, 820M, Cypress Helper (
15:48:54, 79551, 766M, Cypress Helper (
15:49:00, 79551, 762M, Cypress Helper (
15:49:06, 79551, 744M, Cypress Helper (
15:49:13, 79551, 789M, Cypress Helper (
15:49:19, 79551, 786M, Cypress Helper (
15:49:25, 79551, 777M, Cypress Helper (
15:49:31, 79551, 765M, Cypress Helper (
15:49:37, 79551, 762M, Cypress Helper (
15:49:44, 79551, 744M, Cypress Helper (
15:49:50, 79551, 769M, Cypress Helper (
15:49:56, 79551, 760M, Cypress Helper (
15:50:02, 79551, 780M, Cypress Helper (
15:50:08, 79551, 859M, Cypress Helper (
15:50:15, 79551, 770M, Cypress Helper (
15:50:21, 79551, 773M, Cypress Helper (
15:50:27, 79551, 747M, Cypress Helper (
15:50:33, 79551, 814M, Cypress Helper (
15:50:40, 79551, 771M, Cypress Helper (
15:50:46, 79551, 761M, Cypress Helper (
15:50:52, 79551, 765M, Cypress Helper (
15:50:58, 79551, 798M, Cypress Helper (
15:51:04, 79551, 783M, Cypress Helper (
15:51:11, 79551, 789M, Cypress Helper (
15:51:17, 79551, 823M, Cypress Helper (
15:51:23, 79551, 853M, Cypress Helper (
15:51:29, 79551, 806M, Cypress Helper (
15:51:36, 79551, 773M, Cypress Helper (
15:51:42, 79551, 773M, Cypress Helper (
15:51:48, 79551, 759M, Cypress Helper (
15:51:54, 79551, 802M, Cypress Helper (
15:52:01, 79551, 793M, Cypress Helper (
15:52:07, 79551, 785M, Cypress Helper (
15:52:13, 79551, 763M, Cypress Helper (
15:52:19, 79551, 827M, Cypress Helper (
15:52:26, 79551, ,
