Starting profiler for
PID of cypress renderer: 79551
time, pid, mem, command
15:04:08, 79551, 162M, Cypress Helper (
15:04:14, 79551, 172M, Cypress Helper (
15:04:21, 79551, 165M, Cypress Helper (
15:04:27, 79551, 168M, Cypress Helper (
15:04:33, 79551, 168M, Cypress Helper (
15:04:39, 79551, 179M, Cypress Helper (
15:04:45, 79551, 175M, Cypress Helper (
15:04:51, 79551, 176M, Cypress Helper (
15:04:57, 79551, 181M, Cypress Helper (
15:05:03, 79551, 190M, Cypress Helper (
15:05:09, 79551, 194M, Cypress Helper (
15:05:15, 79551, 191M, Cypress Helper (
15:05:21, 79551, 205M, Cypress Helper (
15:05:27, 79551, 202M, Cypress Helper (
15:05:33, 79551, 206M, Cypress Helper (
15:05:40, 79551, 217M, Cypress Helper (
15:05:46, 79551, 225M, Cypress Helper (
15:05:52, 79551, 236M, Cypress Helper (
15:05:58, 79551, 237M, Cypress Helper (
15:06:04, 79551, 236M, Cypress Helper (
15:06:10, 79551, 230M, Cypress Helper (
15:06:16, 79551, 233M, Cypress Helper (
15:06:22, 79551, 241M, Cypress Helper (
15:06:28, 79551, 246M, Cypress Helper (
15:06:34, 79551, 243M, Cypress Helper (
15:06:40, 79551, 241M, Cypress Helper (
15:06:47, 79551, 250M, Cypress Helper (
15:06:53, 79551, 260M, Cypress Helper (
15:06:59, 79551, 255M, Cypress Helper (
15:07:05, 79551, 259M, Cypress Helper (
15:07:11, 79551, 259M, Cypress Helper (
15:07:17, 79551, 260M, Cypress Helper (
15:07:23, 79551, 276M, Cypress Helper (
15:07:29, 79551, 283M, Cypress Helper (
15:07:35, 79551, 277M, Cypress Helper (
15:07:41, 79551, 281M, Cypress Helper (
15:07:47, 79551, 273M, Cypress Helper (
15:07:54, 79551, 292M, Cypress Helper (
15:08:00, 79551, 292M, Cypress Helper (
15:08:06, 79551, 279M, Cypress Helper (
15:08:12, 79551, 284M, Cypress Helper (
15:08:18, 79551, 310M, Cypress Helper (
15:08:24, 79551, 297M, Cypress Helper (
15:08:30, 79551, 296M, Cypress Helper (
15:08:36, 79551, 292M, Cypress Helper (
15:08:42, 79551, 302M, Cypress Helper (
15:08:48, 79551, 326M, Cypress Helper (
15:08:54, 79551, 304M, Cypress Helper (
15:09:00, 79551, 310M, Cypress Helper (
15:09:06, 79551, 325M, Cypress Helper (
15:09:12, 79551, 311M, Cypress Helper (
15:09:18, 79551, 317M, Cypress Helper (
15:09:25, 79551, 316M, Cypress Helper (
15:09:31, 79551, 311M, Cypress Helper (
15:09:37, 79551, 320M, Cypress Helper (
15:09:43, 79551, 322M, Cypress Helper (
15:09:49, 79551, 347M, Cypress Helper (
15:09:55, 79551, 337M, Cypress Helper (
15:10:01, 79551, 327M, Cypress Helper (
15:10:07, 79551, 334M, Cypress Helper (
15:10:13, 79551, 336M, Cypress Helper (
15:10:19, 79551, 341M, Cypress Helper (
15:10:25, 79551, 331M, Cypress Helper (
15:10:31, 79551, 347M, Cypress Helper (
15:10:37, 79551, 345M, Cypress Helper (
15:10:44, 79551, 372M, Cypress Helper (
15:10:50, 79551, 359M, Cypress Helper (
15:10:56, 79551, 355M, Cypress Helper (
15:11:02, 79551, 374M, Cypress Helper (
15:11:08, 79551, 348M, Cypress Helper (
15:11:14, 79551, 347M, Cypress Helper (
15:11:20, 79551, 362M, Cypress Helper (
15:11:26, 79551, 351M, Cypress Helper (
15:11:32, 79551, 358M, Cypress Helper (
15:11:38, 79551, 379M, Cypress Helper (
15:11:44, 79551, 386M, Cypress Helper (
15:11:50, 79551, 363M, Cypress Helper (
15:11:56, 79551, 391M, Cypress Helper (
15:12:02, 79551, 368M, Cypress Helper (
15:12:09, 79551, 383M, Cypress Helper (
15:12:15, 79551, 373M, Cypress Helper (
